X,Y,Z,Val
-3561.882080078125,257634.96875,-1859.6624755859375,44
-58262.015625,259522.8125,-3789.592041015625,44
-58262.015625,259522.8125,-3789.592041015625,44
-72625.8046875,241081.765625,-2265.826904296875,44
-3561.882080078125,257634.96875,-1859.6624755859375,44
-37369.8125,271360.125,-3684.66259765625,44
-72625.8046875,241081.765625,-2265.826904296875,44
-37369.8125,271360.125,-3684.66259765625,44
-37369.8125,271360.125,-3684.66259765625,44
-72625.8046875,241081.765625,-2265.826904296875,44
-37369.8125,271360.125,-3684.66259765625,44
-58262.015625,259522.8125,-3789.592041015625,44
-37369.8125,271360.125,-3684.66259765625,44
-72625.8046875,241081.765625,-2265.826904296875,44
-81600.1328125,217477.34375,1493.0526123046875,44
-58262.015625,259522.8125,-3789.592041015625,44
-81600.1328125,217477.34375,1493.0526123046875,44
-37369.8125,271360.125,-3684.66259765625,44
-81600.1328125,217477.34375,1493.0526123046875,44
-37369.8125,271360.125,-3684.66259765625,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-210934.171875,-91921.6875,-166.69277954101562,44
-207920.5625,-27941.353515625,-241.0703582763672,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-210934.171875,-91921.6875,-166.69277954101562,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-207920.5625,-27941.353515625,-241.0703582763672,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-207920.5625,-27941.353515625,-241.0703582763672,44
-207920.5625,-27941.353515625,-241.0703582763672,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-207920.5625,-27941.353515625,-241.0703582763672,44
-246517.59375,-63737.37890625,-223.72364807128906,44
-210934.171875,-91921.6875,-166.69277954101562,44
-210934.171875,-91921.6875,-166.69277954101562,44
-210934.171875,-91921.6875,-166.69277954101562,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
-1419.6383056640625,-127711.421875,12528.30078125,44
316798.75,-147620.96875,3917.830322265625,44
316798.75,-147620.96875,3917.830322265625,44
286025.875,-202363.21875,3127.625732421875,44
253072.1875,-134188.6875,3842.98779296875,44
250564.78125,-138327.15625,3840.543212890625,44
340234.625,-163333.90625,4311.70361328125,44
316798.75,-147620.96875,3917.830322265625,44
259463.046875,-136252.453125,4591.5859375,44
305183.9375,-224428.25,2316.119140625,44
340234.625,-163333.90625,4311.70361328125,44
288803.90625,-214792.75,3182.9384765625,44
305183.9375,-224428.25,2316.119140625,44
305183.9375,-224428.25,2316.119140625,44
253072.1875,-134188.6875,3842.98779296875,44
330499.5625,-168011.03125,4112.71728515625,44
286025.875,-202363.21875,3127.625732421875,44
340234.625,-163333.90625,4311.70361328125,44
250564.78125,-138327.15625,3840.543212890625,44
250564.78125,-138327.15625,3840.543212890625,44
340234.625,-163333.90625,4311.70361328125,44
-130010.0,100.0,22309.9921875,21
-126970.0,47680.0078125,24729.9921875,21
-121600.0,46040.0078125,24709.9921875,21
-170240.0,48690.0,24740.0,21
-172750.0,48360.0,23590.0,21
-190770.0,21640.0,21580.0,21
-182820.0,24300.0,22360.0,21
-152370.0,11340.0,18340.0,21
-123480.0,12060.0,24810.0,21
-126810.0,14480.0,24750.0,21
-128110.0,20440.0,19500.0,21
-135580.0,8960.0,19510.0,21
-139060.0,31500.0078125,19069.9921875,21
-146020.0,33410.0078125,22439.9921875,21
-147360.0,33220.0078125,22439.9921875,21
-57470.0,30450.0078125,20089.9921875,21
-42790.0,30760.0078125,20319.9921875,21
-74520.0,17040.0078125,23179.9921875,21
-61900.0,17190.0078125,23409.9921875,21
-43270.0,38670.0078125,20659.9921875,21
-27080.0,34810.0078125,21409.9921875,21
-28050.0,22060.0078125,23209.9921875,21
-49780.0,11340.0078125,23699.9921875,21
-57190.0,11260.0078125,22839.9921875,21
289400.25,38414.4296875,-1361.225830078125,21
281905.46875,24417.5390625,-1498.1146240234375,21
286798.4375,18784.837890625,231.07403564453125,21
302271.0625,14110.5029296875,-1583.727783203125,21
-173330.46875,-112156.65625,234.47723388671875,0
98957.4609375,220245.453125,150.54473876953125,21
85164.6953125,226201.203125,0.7664794921875,21
86692.5078125,217815.390625,9.5299072265625,21
294127.0625,15382.689453125,-1556.734130859375,21
81478.046875,230897.296875,-3228.0,21
77909.9296875,246109.921875,-4126.630859375,21
78532.0625,240169.484375,-1561.5333251953125,21
65933.09375,246792.421875,1078.40966796875,21
65913.359375,224373.484375,359.083251953125,21
33693.24609375,221316.203125,-5715.96826171875,21
40974.59375,220609.484375,-5616.17626953125,21
35650.87890625,233232.953125,-5540.89453125,21
33080.73046875,228834.359375,-5582.248046875,21
40589.1796875,211402.703125,-5724.07763671875,21
294006.4375,8874.2490234375,514.4952392578125,21
51558.4140625,208022.265625,-5708.8701171875,21
52410.3984375,183616.703125,-5976.29296875,21
58470.2734375,169232.484375,-4232.08349609375,21
76880.4375,164212.5,919.6241455078125,21
101312.984375,145367.5625,6006.78759765625,21
97090.8125,137252.171875,5649.65380859375,21
87774.1015625,140362.21875,5166.4306640625,21
96517.59375,145156.171875,5677.58837890625,21
88981.1171875,155838.125,1948.504638671875,21
93279.0078125,172675.15625,1087.6876220703125,21
302616.0,8115.869140625,692.4257202148438,21
111114.671875,157541.375,2143.998779296875,21
82345.9453125,169657.46875,1705.4588623046875,21
81604.4375,178139.28125,996.714111328125,21
92937.328125,188975.09375,1437.0157470703125,21
82269.421875,201404.421875,1357.2353515625,21
71849.78125,200181.703125,-771.9370727539062,21
75731.2734375,187765.671875,952.7705078125,21
68689.1328125,210064.640625,-2744.15869140625,21
64283.80859375,205974.921875,-5591.5419921875,21
59319.07421875,211701.15625,-4210.06298828125,21
52989.875,235898.90625,-2290.441162109375,21
78062.765625,205977.359375,-1089.2357177734375,21
79312.71875,209449.71875,-398.98724365234375,21
83636.5546875,209289.765625,469.04693603515625,21
91862.296875,209149.640625,857.5928955078125,21
90053.234375,204034.3125,817.0213623046875,21
89659.28125,195999.140625,841.6622314453125,21
41981.17578125,190272.96875,6336.3720703125,21
16726.30859375,215435.8125,13102.630859375,21
10865.52734375,237428.828125,837.043212890625,21
23442.02734375,251858.328125,-38.086181640625,21
71072.1015625,225081.125,809.2026977539062,21
47541.06640625,233124.9375,-2462.182861328125,21
59689.09765625,233219.453125,-4472.21875,21
57435.08203125,229060.75,-12.2091064453125,21
73848.453125,226951.5625,1497.8985595703125,21
85228.8359375,228906.125,1093.14208984375,21
78445.5546875,223984.828125,505.4320068359375,21
82076.875,209299.21875,5987.84326171875,21
66450.8046875,203741.46875,10446.703125,21
67848.765625,200338.390625,2430.81982421875,21
75521.3046875,188186.984375,-4106.986328125,21
93791.390625,228194.078125,-7.079436779022217,21
31402.130859375,-96064.0,12469.697265625,21
79721.5546875,176745.578125,-5242.19482421875,21
73891.0859375,183021.21875,-4486.5478515625,21
122404.296875,148545.3125,2735.209716796875,21
85591.1796875,202939.734375,1336.8607177734375,21
77844.6875,186997.859375,1103.653076171875,21
122749.8046875,149325.3125,3095.208740234375,21
102307.21875,169730.0625,-709.2200317382812,21
78950.0390625,204545.734375,1134.0980224609375,21
66905.0078125,203041.609375,-2122.989990234375,21
68002.796875,-81184.4375,10062.705078125,1
56054.8515625,-85925.3515625,10031.056640625,2
67857.15625,-95776.359375,9475.6220703125,0
70757.6015625,-78166.875,10511.279296875,1
64583.11328125,-71457.8671875,10739.4130859375,1
73805.734375,192885.890625,-1717.856689453125,21
83561.4296875,-90458.3515625,9673.0859375,1
84213.4375,-86391.328125,9865.71875,1
60604.81640625,-77984.84375,9636.552734375,0
73550.984375,188189.96875,-407.8583068847656,21
72799.9375,174724.546875,593.795166015625,21
36327.21875,186319.734375,-6885.69970703125,21
29969.46484375,-71547.0546875,8667.6416015625,21
50179.25,179669.59375,-6150.92138671875,21
44824.8359375,188784.734375,5774.166015625,21
206469.015625,-48693.0703125,4819.96337890625,21
204722.5625,-46847.91015625,4765.94140625,21
65180.203125,202327.640625,-5575.5087890625,21
213675.671875,-25470.73828125,1869.255126953125,21
204111.546875,-27229.146484375,5157.2548828125,21
207792.078125,-28416.05078125,7976.51953125,21
209567.09375,-14449.322265625,-98.98455810546875,21
214272.25,-9207.123046875,-1098.3701171875,21
210673.28125,-6535.2080078125,-837.911376953125,21
209327.03125,1386.6929931640625,-1047.9517822265625,21
221709.796875,-8189.81494140625,-1643.659423828125,21
218389.515625,5572.67626953125,-1556.0091552734375,21
215616.453125,10375.5927734375,-1638.1783447265625,21
44411.14453125,196806.34375,-5198.45703125,21
202295.046875,6716.78515625,2530.888916015625,21
209860.1875,7650.47265625,1898.085205078125,21
208371.984375,11551.373046875,2850.11767578125,21
197222.109375,10718.2255859375,237.7209930419922,21
202577.0,19527.748046875,-820.5076293945312,21
198013.84375,18356.328125,-416.18658447265625,21
192857.703125,20710.6171875,-1502.4708251953125,21
196079.625,22802.66015625,-1497.6761474609375,21
191461.21875,24137.650390625,-1633.54638671875,21
199522.78125,30766.83203125,-1590.4903564453125,21
50672.75,220112.34375,-5534.236328125,21
193377.046875,27693.830078125,-1391.4576416015625,21
179660.34375,26168.90234375,-52.82513427734375,9
176665.328125,20192.158203125,-746.6195678710938,9
175842.796875,34275.86328125,467.6070861816406,9
177795.28125,37844.88671875,3317.15576171875,9
175097.546875,58040.671875,2078.95654296875,9
176311.609375,66996.5078125,2888.656005859375,9
166138.28125,62555.31640625,2000.362060546875,9
165932.21875,68373.046875,-4.694671630859375,9
